Month,Year,Median Home Values (in thousands of dollars),30-year Fixed Mortgage Rate (%),Private Housing Permits (in thousands),Total Vehicle Sales (in thousands),Discount Rate (%),Personal Savings Rate (%),Real Disposable Personal Income: Per Capita (in thousands of dollars),Industrial Production Index (%),Commercial and Industrial Loans (in thousands of dollars),CPI for All Urban Consumers (%),Seasonally Adjusted Unemployment Rate (%),Federal Funds Effective Rate (%),S&P500 price close at end of the month (^GSPC) (dollars)
December,2017,239.38,3.95,94.80,17903.00,2.00,6.30,42.95,101.39,2103482100.00,246.52,4.10,1.30,2823.81
January,2018,240.36,4.03,98.40,17508.00,2.00,7.10,43.22,101.35,2107568400.00,247.87,4.00,1.41,2713.83
February,2018,243.02,4.33,93.40,17461.00,2.00,7.20,43.28,101.71,2109112000.00,248.99,4.10,1.42,2640.87
March,2018,245.85,4.44,119.40,17628.00,2.25,7.20,43.39,102.28,2121817700.00,249.55,4.00,1.51,2648.05
April,2018,247.99,4.47,121.50,17651.00,2.25,7.20,43.48,103.43,2163841000.00,250.55,4.00,1.69,2705.27
May,2018,250.87,4.59,126.90,17558.00,2.25,7.20,43.59,102.47,2170276200.00,251.59,3.80,1.70,2718.37
June,2018,252.55,4.57,123.30,17571.00,2.50,7.40,43.73,103.25,2188011700.00,251.99,4.00,1.82,2816.29
July,2018,253.33,4.53,114.50,17456.00,2.50,7.50,43.91,103.46,2201407200.00,252.01,3.80,1.91,2901.52
August,2018,253.70,4.55,118.20,17390.00,2.50,7.60,44.05,104.18,2206346800.00,252.15,3.80,1.91,2913.98
September,2018,253.01,4.63,100.40,17828.00,2.75,7.70,44.03,104.17,2222697000.00,252.44,3.70,1.95,2711.74
October,2018,252.70,4.83,113.90,18299.00,2.75,7.60,44.15,104.05,2247788800.00,252.89,3.80,2.19,2760.17
November,2018,253.38,4.87,102.30,18020.00,2.75,7.50,44.27,103.96,2272263600.00,252.04,3.80,2.20,2506.85
December,2018,252.52,4.64,96.60,18167.00,3.00,9.40,44.81,103.87,2301559500.00,251.23,3.90,2.27,2704.10
January,2019,253.33,4.46,96.00,17291.00,3.00,9.30,44.85,103.27,2322736700.00,251.71,4.00,2.40,2784.49
February,2019,254.90,4.37,91.20,16968.00,3.00,9.50,44.97,102.82,2328088700.00,252.78,3.80,2.40,2834.40
March,2019,257.83,4.27,107.80,17733.00,3.00,9.10,44.99,102.90,2336253900.00,254.20,3.80,2.41,2945.83
April,2019,260.75,4.14,121.20,16898.00,3.00,8.90,44.87,102.38,2326925500.00,255.55,3.60,2.42,2752.06
May,2019,263.53,4.07,127.00,17725.00,3.00,8.60,44.86,102.58,2330638400.00,256.09,3.60,2.39,2941.76
June,2019,264.84,3.80,113.80,17680.00,3.00,8.50,44.92,102.59,2335422400.00,256.14,3.60,2.38,2980.38
July,2019,265.69,3.77,121.90,17551.00,3.00,8.40,44.99,102.20,2343203000.00,256.57,3.70,2.40,2926.46
August,2019,265.67,3.62,131.50,17635.00,2.75,8.70,45.23,102.91,2361509900.00,256.56,3.70,2.13,2976.74
September,2019,266.27,3.61,118.30,17770.00,2.50,8.90,45.33,102.58,2368141500.00,256.76,3.50,2.04,3037.56
October,2019,266.41,3.69,135.80,17425.00,2.25,8.90,45.38,101.78,2368734800.00,257.35,3.60,1.83,3140.98
November,2019,266.77,3.70,111.00,17645.00,2.25,8.90,45.54,102.10,2367848900.00,257.21,3.60,1.55,3230.78
December,2019,267.43,3.72,110.70,17540.00,2.25,8.30,45.33,101.76,2356076700.00,256.97,3.60,1.55,3225.52
January,2020,268.54,3.62,116.40,17314.00,2.25,9.10,45.71,101.30,2352642100.00,257.97,3.50,1.55,2954.22
February,2020,271.60,3.47,102.90,17061.00,2.25,9.30,45.95,101.70,2346827000.00,258.68,3.50,1.58,2584.59
March,2020,274.23,3.45,119.00,11680.00,0.25,13.80,45.26,97.87,2562922900.00,258.12,4.40,0.65,2912.43
April,2020,276.53,3.31,98.40,8923.00,0.25,33.80,52.00,84.96,2921004700.00,256.39,14.70,0.05,3044.31
May,2020,277.24,3.23,107.30,12328.00,0.25,24.90,49.52,86.33,3033606900.00,256.39,13.20,0.05,3100.29
June,2020,280.67,3.16,127.20,13271.00,0.25,20.10,49.06,91.75,2922453800.00,257.80,11.00,0.08,3271.12
July,2020,284.04,3.02,138.90,15075.00,0.25,19.20,49.35,95.24,2854106600.00,259.10,10.20,0.09,3500.31
August,2020,287.80,2.94,128.90,15704.00,0.25,15.50,47.43,96.12,2811508800.00,259.92,8.40,0.10,3363.00
September,2020,291.46,2.89,136.30,16692.00,0.25,14.60,47.60,96.07,2755011800.00,260.28,7.90,0.09,3269.96
October,2020,294.66,2.83,135.90,17084.00,0.25,14.00,47.38,96.83,2694918600.00,260.39,6.90,0.09,3621.63
November,2020,296.82,2.77,123.10,16492.00,0.25,13.30,46.76,97.12,2638707000.00,260.23,6.70,0.09,3756.07
December,2020,298.90,2.68,137.00,16927.00,0.25,13.80,46.80,98.14,2594208600.00,260.47,6.70,0.09,3714.24
January,2021,301.67,2.74,131.90,17327.00,0.25,20.00,51.51,99.26,2567298600.00,261.58,6.40,0.09,3811.15
February,2021,306.21,2.81,122.50,16106.00,0.25,13.40,47.18,96.22,2586749800.00,263.01,6.20,0.08,3972.89
March,2021,313.38,3.08,160.30,18223.00,0.25,26.30,57.88,98.86,2588714400.00,264.88,6.00,0.07,4181.17
April,2021,320.55,3.06,160.60,18655.00,0.25,12.80,49.00,99.02,2554670400.00,267.05,6.00,0.07,4204.11
May,2021,327.76,2.96,144.50,17177.00,0.25,10.30,47.56,99.78,2539674400.00,269.20,5.80,0.06,4297.50
June,2021,334.11,2.98,156.80,15757.00,0.25,9.30,47.30,100.19,2471278900.00,271.70,5.90,0.08,4395.26
July,2021,338.75,2.87,141.10,15067.00,0.25,9.90,47.63,100.87,2444161300.00,273.00,5.40,0.10,4522.68
August,2021,341.18,2.84,156.80,13486.00,0.25,9.50,47.56,100.84,2421026200.00,273.57,5.20,0.09,4307.54
September,2021,343.71,2.90,136.20,12731.00,0.25,7.90,46.87,99.85,2407760600.00,274.31,4.70,0.08,4605.38
October,2021,346.59,3.07,137.70,13662.00,0.25,7.30,46.87,101.36,2413359100.00,276.59,4.60,0.08,4567.00
November,2021,349.60,3.07,133.40,13542.00,0.25,7.10,46.73,101.96,2430037400.00,277.95,4.20,0.08,4766.18
December,2021,352.52,3.10,155.30,13173.00,0.25,7.50,46.55,101.76,2470287400.00,278.80,3.90,0.08,4515.55
January,2022,357.10,3.45,132.30,15549.00,0.25,4.70,45.50,102.15,2483468900.00,281.15,4.00,0.08,4373.94
February,2022,365.44,3.76,131.50,14164.00,0.25,4.50,45.46,102.90,2490862800.00,283.72,3.80,0.08,4530.41
March,2022,373.26,4.17,169.00,14003.00,0.25,3.80,45.26,103.57,2532510800.00,287.50,3.60,0.20,4131.93
April,2022,381.52,4.98,156.60,14740.00,0.25,3.70,45.29,104.27,2561822800.00,289.11,3.60,0.33,4132.15
May,2022,387.89,5.23,149.00,13044.00,0.25,3.60,45.26,104.16,2601412900.00,292.30,3.60,0.77,3785.38
June,2022,388.58,5.52,157.20,13523.00,0.25,3.00,45.08,104.08,2659310200.00,296.31,3.60,1.21,4130.29
July,2022,385.76,5.41,134.40,13811.00,0.25,3.50,45.31,104.76,2694322300.00,296.28,3.50,1.68,3955.00
August,2022,381.79,5.22,139.00,13740.00,0.25,3.40,45.38,104.65,2721389800.00,296.17,3.70,2.33,3585.62
September,2022,377.67,6.11,129.60,14047.00,0.25,3.10,45.39,104.81,2747997300.00,296.81,3.50,2.56,3871.98
October,2022,377.67,6.90,120.80,15396.00,0.25,3.70,45.33,104.69,2780803300.00,298.01,3.70,3.08,4026.12
